video,gt,pred,first_alert_frame,frames_seen
adl-01-cam0.mp4,0,1,11,11
adl-02-cam0.mp4,0,1,4,4
adl-03-cam0.mp4,0,0,,180
adl-04-cam0.mp4,0,0,,150
adl-05-cam0.mp4,0,0,,180
adl-06-cam0.mp4,0,1,11,11
adl-07-cam0.mp4,0,0,,180
adl-08-cam0.mp4,0,0,,180
adl-09-cam0.mp4,0,0,,150
adl-10-cam0.mp4,0,1,221,221
adl-11-cam0.mp4,0,1,2,2
adl-12-cam0.mp4,0,0,,250
adl-13-cam0.mp4,0,0,,265
adl-14-cam0.mp4,0,0,,235
adl-15-cam0.mp4,0,1,231,231
adl-16-cam0.mp4,0,1,175,175
adl-17-cam0.mp4,0,0,,230
adl-18-cam0.mp4,0,0,,265
adl-19-cam0.mp4,0,0,,250
adl-20-cam0.mp4,0,0,,270
adl-21-cam0.mp4,0,1,183,183
adl-22-cam0.mp4,0,1,129,129
adl-23-cam0.mp4,0,1,118,118
adl-24-cam0.mp4,0,0,,70
adl-25-cam0.mp4,0,0,,110
adl-26-cam0.mp4,0,0,,95
adl-27-cam0.mp4,0,0,,100
adl-28-cam0.mp4,0,0,,85
adl-29-cam0.mp4,0,0,,125
adl-30-cam0.mp4,0,1,183,183
adl-31-cam0.mp4,0,1,97,97
adl-32-cam0.mp4,0,1,107,107
adl-33-cam0.mp4,0,1,100,100
adl-34-cam0.mp4,0,1,129,129
adl-35-cam0.mp4,0,1,85,85
adl-36-cam0.mp4,0,1,250,250
adl-37-cam0.mp4,0,1,279,279
adl-38-cam0.mp4,0,1,150,150
adl-39-cam0.mp4,0,1,208,208
adl-40-cam0.mp4,0,1,202,202
fall-01-cam0.mp4,1,1,117,117
fall-02-cam0.mp4,1,1,90,90
fall-03-cam0.mp4,1,0,,215
fall-04-cam0.mp4,1,1,51,51
fall-05-cam0.mp4,1,1,112,112
fall-06-cam0.mp4,1,1,69,69
fall-07-cam0.mp4,1,1,115,115
fall-08-cam0.mp4,1,1,79,79
fall-09-cam0.mp4,1,1,151,151
fall-10-cam0.mp4,1,1,73,73
fall-11-cam0.mp4,1,0,,130
fall-12-cam0.mp4,1,1,68,68
fall-13-cam0.mp4,1,1,62,62
fall-14-cam0.mp4,1,1,45,45
fall-15-cam0.mp4,1,1,47,47
fall-16-cam0.mp4,1,0,,55
fall-17-cam0.mp4,1,1,74,74
fall-18-cam0.mp4,1,1,44,44
fall-19-cam0.mp4,1,1,51,51
fall-20-cam0.mp4,1,1,52,52
fall-21-cam0.mp4,1,1,39,39
fall-22-cam0.mp4,1,1,34,34
fall-23-cam0.mp4,1,1,51,51
fall-24-cam0.mp4,1,1,47,47
fall-25-cam0.mp4,1,1,75,75
fall-26-cam0.mp4,1,1,36,36
fall-27-cam0.mp4,1,1,70,70
fall-28-cam0.mp4,1,1,55,55
fall-29-cam0.mp4,1,1,75,75
fall-30-cam0.mp4,1,1,56,56
