seq_name,seq_path,gt_label,frame_dir,num_frames
adl-01,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-01,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-01,150
adl-02,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-02,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-02,180
adl-03,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-03,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-03,180
adl-04,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-04,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-04,150
adl-05,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-05,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-05,180
adl-06,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-06,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-06,230
adl-07,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-07,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-07,180
adl-08,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-08,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-08,180
adl-09,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-09,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-09,150
adl-10,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-10,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-10,300
adl-11,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-11,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-11,300
adl-12,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-12,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-12,250
adl-13,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-13,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-13,265
adl-14,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-14,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-14,235
adl-15,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-15,0,C:\Users\duc62\Desktop\BT\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\data\frames\adl-15,275
