seq_name,seq_path,gt_label,frame_dir,num_frames
adl-01,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-01-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-01-cam0-rgb,150
adl-02,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-02-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-02-cam0-rgb,180
adl-03,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-03-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-03-cam0-rgb,180
adl-04,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-04-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-04-cam0-rgb,150
adl-05,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-05-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-05-cam0-rgb,180
adl-06,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-06-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-06-cam0-rgb,230
adl-07,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-07-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-07-cam0-rgb,180
adl-08,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-08-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-08-cam0-rgb,180
adl-09,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-09-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-09-cam0-rgb,150
adl-10,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-10-cam0-rgb,0,D:\Workspace for Learning\My Projects\UTH Projects\Human-anomaly-localization-YOLOv8s-pose\urfd_fall_yolo_pose\..\data\raw\UR_Fall_Detection_Dataset\data\Activities_of_Daily_Living_sequences\adl-10-cam0-rgb,300
